PSL-Size,LTL-Size,Frequency
,7,0.0153452685422
4,5,0.038363171355499
1,1,0.002557544757033
5,8,0.002557544757033
4,4,0.081841432225064
,5,0.017902813299233
,8,0.002557544757033
5,6,0.043478260869565
6,7,0.005115089514067
5,5,0.127877237851662
6,6,0.0153452685422
5,,0.040920716112532
,,0.498721227621483
3,3,0.010230179028133
5,7,0.043478260869565
,6,0.028132992327366
2,2,0.023017902813299
