FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:9;vars:5.trace,8.915429592132568,4,(x0 -> (x0 U x3)),7.226273741573095,4,(x0 -> (x0 U x3)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:9;vars:3.trace,9.490824699401855,4,(x0 -> (X x2)),8.381859994493425,4,(x0 -> (X x2)),32
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:7;vars:1.trace,9.723713874816895,5,((G ((X x0) | x0)) & (X x0)),4.621938835829496,5,((X x0) & (G (x0 U (X x0)))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:5;vars:2.trace,11.721110582351685,4,((x0 . x0) |-> x1),9.621429279446602,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:7;vars:3.trace,11.910662174224854,4,((G x0) & x1),9.628581310622394,4,(x1 & (G x0)),32
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:13;vars:4.trace,12.227176904678345,4,((x3 U x1) -> x1),10.97289704438299,4,((x3 U x1) -> x1),32
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:9;vars:1.trace,12.470717668533325,5,(G (x0 -> (X (X x0)))),5.7164195934310555,5,(G (x0 -> (X (X x0)))),51
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:9;vars:3.trace,14.05608081817627,4,(G (x0 & x1)),11.733796503394842,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:9;vars:2.trace,14.47731065750122,4,(G (x0 & x1)),11.74787354003638,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/smallTests/30.trace,14.68508243560791,6,(x1 U ((! x0) & (X (! x0)))),5.7040881887078285,6,((F (X x0)) U (! (x0 | (X x0)))),6
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:13;vars:3.trace,14.97917103767395,4,((X x0) -> (! x0)),12.35261776484549,4,((X (! x0)) U (! x0)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:5;vars:3.trace,15.843150854110718,4,(G (x1 & x0)),13.73179598711431,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:7;vars:4.trace,16.10463285446167,5,((X (x1 & x3)) -> x3),9.074324613437057,5,(X ((F x3) -> (X (F x3)))),51
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:5;vars:4.trace,17.158079147338867,5,(x2 | (x1 -> x3)),8.224340245127678,5,(x2 | (x1 -> x3)),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:5;vars:1.trace,18.637024402618408,5,((x0 & (X x0)) -> (X (X x0))),9.219463218934834,5,((X x0) -> (x0 -> (X (X x0)))),51
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:5;vars:5.trace,19.293450117111206,5,((F (G x2)) -> (X x2)),9.659062387421727,5,((F (G x2)) -> (X (G x2))),51
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:3;vars:2.trace,20.02747130393982,5,(X (x0 & (X (X x0)))),12.011279039084911,5,((X x0) & (G ((X x0) U x0))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:5;vars:2.trace,20.874130964279175,5,((x0 & (X x0)) -> (G x0)),9.865930622443557,5,((x0 & (X x0)) -> (G x0)),51
