PSL-Size,LTL-Size,Frequency
,7,0.009031198686371
,,0.247947454844007
4,4,0.037766830870279
,5,0.041871921182266
5,5,0.173234811165846
6,6,0.023809523809524
3,3,0.141215106732348
,6,0.085385878489327
2,2,0.238916256157635
