FileName,PSL-Time taken(2loops),PSL-Size(2loops),PSL-Formula Generated(2loops),LTL-Time taken,LTL-Size,LTL-Formula Generated
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/10traces;len:7;vars:3.trace,2.85357213020325,4,(G (x0 U (! x0))),2.27239734679461,4,(G (F (! x0)))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/10traces;len:9;vars:3.trace,3.57352876663208,4,((X (X x2)) | x2),2.76990760629997,4,((X x0) -> x2)
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/10traces;len:9;vars:3.trace,3.71566224098206,4,(! ((X x0) & x0)),2.67286692326888,4,((X x0) -> (! x0))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/10traces;len:11;vars:2.trace,3.79035711288452,4,(X (x0 -> x1)),2.87467199517414,4,(X (x0 -> x1))
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/10traces;len:9;vars:3.trace,3.83475470542908,4,(x0 -> (x0 U (X x0))),3.08507597306743,4,(x2 -> (x2 U (X x2)))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:3;vars:1.trace,3.8665087223053,5,(((X x0) -> x0) -> (G x0)),2.08283607568592,5,(((X x0) -> x0) -> (G (X x0)))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/10traces;len:9;vars:2.trace,3.87314963340759,4,(x0 -> (X x1)),3.11306556081399,4,(x0 -> (X x1))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/10traces;len:9;vars:1.trace,4.12735843658447,4,(x0 -> (X (X x0))),3.40925091505051,4,(x0 -> (X (X x0)))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/10traces;len:11;vars:2.trace,4.27154088020325,4,(X (x0 -> x1)),3.4438917497173,4,(x1 U (! x0))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/10traces;len:11;vars:2.trace,5.17130041122437,4,(x0 -> (F (G x0))),4.26443605497479,4,(x0 -> (F (G x0)))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/50traces;len:3;vars:1.trace,5.24187564849854,4,(x0 -> (X (X x0))),4.61184933781624,4,(x0 -> (X (X x0)))
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/10traces;len:11;vars:3.trace,5.40528178215027,4,(x1 -> (X x0)),4.06164666824043,4,(x1 -> (X x0))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/50traces;len:3;vars:2.trace,5.43929743766785,4,(x0 -> (X (X x0))),4.5038454271853,4,(x0 -> (X (X x0)))
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/10traces;len:5;vars:2.trace,5.45301127433777,5,((X x1) -> (X (x1 U (X x1)))),3.01706712413579,5,(((X x1) U x1) -> (G ((X x1) U x1)))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:5;vars:1.trace,5.6346390247345,5,((x0 -> (X (X x0))) & (X x0)),3.25354675902054,5,(((X x0) -> x0) -> (G (X x0)))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/10traces;len:11;vars:3.trace,6.74288392066956,4,(x0 -> (X x1)),5.13719084020704,4,(x0 -> (X x1))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/50traces;len:5;vars:2.trace,6.99160742759705,4,(x0 -> (X (X x0))),5.87691492121667,4,(x0 -> (X (X x0)))
allTests/generatedTracesFromPSL/smallTests/29.trace,7.06244564056397,5,((X x0) & (G ((X x0) | x0))),3.79551805509254,5,((X x0) & (G (x0 | (X x0))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:7;vars:1.trace,8.81351184844971,5,((G (x0 | (X x0))) & (X x0)),4.62181538995355,5,((X x0) & (G (x0 U (X x0))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:9;vars:1.trace,9.41322016716003,5,(G (x0 -> (X (X x0)))),5.5481762601994,5,(G (x0 -> (X (X x0))))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/100traces;len:3;vars:2.trace,10.0632619857788,4,(x0 -> (X (X x0))),8.34694594703615,4,(x0 -> (X (X x0)))
allTests/generatedTracesFromPSL/smallTests/30.trace,11.46852684021,6,(x1 U ((! x0) & (X (! x0)))),5.72753400588408,6,((F (X x0)) U (! (x0 | (X x0))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/10traces;len:9;vars:2.trace,13.1611111164093,5,((x0 U (X x0)) U (! x0)),5.3996764193289,5,((x0 U (X x0)) U (! x0))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:3;vars:2.trace,13.8822565078735,4,((x0 . x0) |-> x1),14.5109026720747,5,(x0 -> (X (x0 -> x1)))
allTests/generatedTracesFromPSL/smallTests/28.trace,14.6970734596252,5,((* (x0 . x0)) |-> x1),9.31917221099138,6,(((X x1) U (X (X x1))) U (! (X x1)))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:3;vars:2.trace,18.3639876842499,5,((X x0) & ((X x0) U (X (X x0)))),11.7831779210828,5,((X x0) & (G ((X x0) U x0)))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:5;vars:2.trace,22.5439276695251,4,((x0 . x0) |-> x1),19.8282179040834,5,(x0 -> (X (x0 -> x1)))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:3;vars:3.trace,25.2237343788147,4,((x0 . x0) |-> x1),27.6888011712581,5,(x0 -> (X (x0 -> x1)))
allTests/generatedTracesFromPSL/smallTests/12.trace,29.4128654003143,5,(x1 -> (X (x0 -> x1))),19.5776809458621,5,(x1 -> (X (x0 -> x1)))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:7;vars:2.trace,31.349556684494,4,((x0 . x0) |-> x1),22.9535025018267,5,(x0 -> (X (x0 -> x1)))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:7;vars:2.trace,32.4369893074036,5,((* (true . true)) |-> x0),17.2168496740051,6,(G (x1 U (X (X x0))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:3;vars:2.trace,34.01482629776,5,((X x0) & (X (X (X x0)))),21.8964755060151,5,(X (x0 & (X (X x0))))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:7;vars:3.trace,41.4424917697906,4,((x0 . x0) |-> x1),34.562608289998,5,(x0 -> (X (x0 -> x1)))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:9;vars:3.trace,42.0500030517578,4,((x0 . x0) |-> x1),33.0412273760885,5,(x0 -> (X (x0 -> x1)))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:9;vars:2.trace,42.8877129554749,4,((x0 . x0) |-> x1),33.4869173550978,5,(x0 -> (X (x0 -> x1)))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:3;vars:3.trace,50.4689133167267,5,((* (x0 . x0)) |-> x1),178.450471967924,7,((X (x0 -> (G (x0 -> x1)))) U (x0 -> (G (x0 -> x1))))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/10traces;len:9;vars:2.trace,55.011058807373,6,(x0 U (X ((X (X x0)) & x0))),15.3903073188849,6,(x0 U (G (x1 U (X x0))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/50traces;len:3;vars:2.trace,62.9478344917297,6,(X (x0 -> (X (X x1)))),29.6883083279245,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:5;vars:1.trace,63.5402202606201,5,((* (true . true)) |-> x0),47.7676068092696,6,((X x0) & (G (x0 -> (X (X x0)))))
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/50traces;len:3;vars:2.trace,75.2296001911163,6,(((X x1) U (X (X x1))) -> ((X (X x1)) | x1)),32.0063133486547,6,((X (X x1)) | (((X x1) U (X (X x1))) -> x1))
allTests/generatedTracesFromPSL/smallTests/13.trace,76.7847516536713,5,(x1 -> (X (x0 -> x1))),42.9343085829169,5,(x1 -> (X (x0 -> x1)))
